TXNAME	GENEID
XM_002176761.1	PHATRDRAFT_9654
XM_002177266.1	PHATRDRAFT_24772
XM_002177267.1	PHATRDRAFT_42910
XM_002177268.1	PHATRDRAFT_42911
XM_002177269.1	PHATRDRAFT_42912
XM_002176762.1	PHATRDRAFT_42913
XM_002176763.1	PHATRDRAFT_42914
XM_002176764.1	PHATRDRAFT_9619
XM_002177270.1	PHATRDRAFT_32027
XM_002176765.1	PHATRDRAFT_24775
XM_002177271.1	PHATRDRAFT_42917
XM_002177272.1	PHATRDRAFT_42918
XM_002177273.1	PHATRDRAFT_32031
XM_002176766.1	PHATRDRAFT_9606
XM_002177274.1	PHATRDRAFT_8975
XM_002177275.1	PHATRDRAFT_42920
XM_002177276.1	PHATRDRAFT_8891
XM_002176767.1	PHATRDRAFT_32036
XM_002177277.1	PHATRDRAFT_24783
XM_002176768.1	PHATRDRAFT_32038
XM_002177278.1	PHATRDRAFT_8737
XM_002177279.1	PHATRDRAFT_42926
XM_002176769.1	PHATRDRAFT_32041
XM_002177280.1	PHATRDRAFT_42927
XM_002176770.1	PHATRDRAFT_42928
XM_002177281.1	PHATRDRAFT_42929
XM_002176771.1	PHATRDRAFT_42930
XM_002176772.1	PHATRDRAFT_42931
XM_002177282.1	PHATRDRAFT_8990
XM_002177283.1	PHATRDRAFT_9634
XM_002176773.1	PHATRDRAFT_42932
XM_002176774.1	PHATRDRAFT_42934
